ticker,instrument,name,sector,industry,currency,created_date
INTU,stock,Intuit Inc.,Information Technology,Application Software,USD,2020-10-21 02:46:36.159667
ISRG,stock,Intuitive Surgical Inc.,Health Care,Health Care Equipment,USD,2020-10-21 02:46:36.159667
IVZ,stock,Invesco Ltd.,Financials,Asset Management & Custody Banks,USD,2020-10-21 02:46:36.159667
IPGP,stock,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,USD,2020-10-21 02:46:36.159667
IQV,stock,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,USD,2020-10-21 02:46:36.159667
IRM,stock,Iron Mountain Incorporated,Real Estate,Specialized REITs,USD,2020-10-21 02:46:36.159667
JKHY,stock,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,USD,2020-10-21 02:46:36.159667
J,stock,Jacobs Engineering Group,Industrials,Construction & Engineering,USD,2020-10-21 02:46:36.159667
JBHT,stock,J. B. Hunt Transport Services,Industrials,Trucking,USD,2020-10-21 02:46:36.159667
SJM,stock,JM Smucker,Consumer Staples,Packaged Foods & Meats,USD,2020-10-21 02:46:36.159667
JNJ,stock,Johnson & Johnson,Health Care,Pharmaceuticals,USD,2020-10-21 02:46:36.159667
JCI,stock,Johnson Controls International,Industrials,Building Products,USD,2020-10-21 02:46:36.159667
JPM,stock,JPMorgan Chase & Co.,Financials,Diversified Banks,USD,2020-10-21 02:46:36.159667
JNPR,stock,Juniper Networks,Information Technology,Communications Equipment,USD,2020-10-21 02:46:36.159667
KSU,stock,Kansas City Southern,Industrials,Railroads,USD,2020-10-21 02:46:36.159667
K,stock,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,USD,2020-10-21 02:46:36.159667
KEY,stock,KeyCorp,Financials,Regional Banks,USD,2020-10-21 02:46:36.159667
KEYS,stock,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,USD,2020-10-21 02:46:36.159667
